Series_reference,Period,Data_value,name,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4
BDCQ.SF2CC9CA,2022.12,515.083,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2023.03,470.95,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2023.06,462.617,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2023.09,494.74,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2023.12,450.114,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2024.03,368.777,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2024.06,396.761,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2024.09,433.745,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CC9CA,2024.12,440.234,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,Furniture and Other Manufacturing,Current prices,Unadjusted
BDCQ.SF2CCCA,2016.06,18168.9,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2016.09,16620.767,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2016.12,19864.035,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2017.03,19427.368,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2017.06,19744.152,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2017.09,18746.894,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2017.12,21608.926,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2018.03,20797.806,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2018.06,21904.91,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2018.09,20204.937,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2018.12,22617.797,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2019.03,21960.456,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2019.06,21629.177,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2019.09,20517.79,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2019.12,24250.813,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2020.03,21711.679,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2020.06,19048.732,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2020.09,19654.121,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2020.12,22618.991,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2021.03,22121.964,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2021.06,23278.452,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2021.09,21755.573,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2021.12,26871.527,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2022.03,25550.131,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2022.06,24789.54,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2022.09,24008.17,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2022.12,26635.548,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2023.03,23849.981,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2023.06,24378.415,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2023.09,22036.351,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2023.12,24315.371,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2024.03,22979.401,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2024.06,23909.292,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2024.09,21912.644,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2CCCA,2024.12,25713.98,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,Manufacturing,Current,Unadjusted
BDCQ.SF2DD1CA,2016.06,2711.405,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2016.09,2732.58,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2016.12,2442.683,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2017.03,2469.755,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2017.06,3015.831,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2017.09,3369.306,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2017.12,3083.561,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2018.03,2925.038,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2018.06,3014.68,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2018.09,3197.053,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
BDCQ.SF2DD1CA,2018.12,3835.478,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current prices,Unadjusted
